consensusTime,searchTime,onChainTime,seqId,roundId,comId
9.002441484s,1.154197663s,1m40.946049442s,539,0,0
8.92436213s,1.200711301s,1m11.546546835s,570,0,0
8.668182179s,1.079065119s,2m21.386174357s,496,0,0
9.893234364s,1.484782343s,7m0.029776355s,216,0,0
9.763294831s,1.40435167s,2m40.782818505s,476,0,0
9.689805872s,1.23881078s,40.257792167s,593,0,0
9.188036431s,1.03576276s,2m0.973554315s,511,0,0
8.72666167s,1.491318962s,30.589767614s,608,0,0
9.368929463s,1.054967208s,8m0.450226411s,160,0,0
9.069524848s,1.046544329s,8m30.651278619s,125,0,0
9.031477463s,1.442367881s,1m40.916905139s,533,0,0
9.356132041s,1.030479583s,3m41.482867559s,415,0,0
8.412485348s,1.073095951s,1m12.059435729s,563,0,0
9.425731282s,1.029752739s,3m51.21913346s,402,0,0
8.383665622s,1.055671249s,5m42.98060489s,293,0,0
9.817053573s,1.263853827s,6m10.981953419s,262,0,0
8.759139617s,1.477691455s,8m21.35342161s,133,0,0
9.116871913s,1.335524766s,4m51.502540958s,343,0,0
8.599510139s,1.050646037s,1m51.890725297s,524,0,0
10.621099649s,1.30819608s,2m50.548749752s,465,0,0
9.895337996s,1.140031362s,4m10.7403513s,389,0,0
8.33129331s,1.199574064s,1m12.142768276s,565,0,0
9.485858266s,1.403083361s,10m10.736918547s,25,0,0
8.583290109s,1.294276324s,10m11.639515406s,27,0,0
9.463110882s,1.053725599s,1m0.185347546s,574,0,0
8.791718978s,1.198124743s,7m20.430618667s,192,0,0
9.217520404s,1.202514409s,8m0.605531389s,153,0,0
9.17398739s,1.18446293s,1m30.868132178s,546,0,0
8.543092914s,1.065802509s,5m2.7655818s,337,0,0
8.697339089s,1.205254673s,2m31.44785175s,486,0,0
8.663874849s,1.100760084s,51.4193075s,585,0,0
8.125863054s,1.054932567s,5m3.182879842s,339,0,0
8.652201224s,1.35244914s,6m2.335468325s,271,0,0
8.736408903s,1.121593242s,3m51.91315476s,405,0,0
9.357486065s,1.102597444s,10m20.493553522s,19,0,0
9.589884496s,1.20678245s,1m20.885583025s,560,0,0
9.448290095s,1.232572994s,6m1.536146543s,274,0,0
8.299382556s,1.077864984s,41.653901834s,599,0,0
9.217785474s,1.037690104s,5m21.882347913s,316,0,0
7.973425679s,1.166386996s,8m31.758274812s,126,0,0
8.722381634s,1.438366366s,6m12.082851495s,265,0,0
7.896273848s,1.012833287s,2m53.280338548s,462,0,0
8.097154447s,1.103045333s,3m13.089978798s,441,0,0
8.292410041s,1.494258398s,3m42.555743388s,417,0,0
9.631459522s,1.344825746s,2m51.545103202s,467,0,0
9.003306604s,1.430966743s,3m12.183651934s,446,0,0
9.495596763s,1.399223887s,1m0.159198368s,571,0,0
9.572023349s,1.329557073s,7m49.986541872s,168,0,0
9.658114072s,1.15592877s,8m0.171003748s,159,0,0
8.835229159s,1.432665897s,30.487474702s,610,0,0
9.25037032s,1.216257363s,7m50.304723022s,164,0,0
8.932105469s,1.399654238s,30.390519108s,602,0,0
8.823345547s,1.015330673s,4m32.490179963s,369,0,0
9.323501668s,1.365658395s,2m30.824125939s,487,0,0
9.243760831s,1.352455119s,1m40.71092424s,540,0,0
9.259333358s,1.379842222s,5m42.107160043s,292,0,0
9.049553418s,1.386678284s,1m11.427214117s,567,0,0
8.858184154s,1.337701239s,9m50.789852637s,49,0,0
9.18692901s,1.037714192s,10.060493327s,628,0,0
8.961018019s,1.036050398s,3m41.881056087s,412,0,0
9.898461048s,1.266536307s,40.051676256s,595,0,0
9.520888914s,1.123511655s,2m30.623695505s,482,0,0
10.07250865s,1.051003209s,3m30.885730575s,421,0,0
9.27108924s,1.453072272s,9m19.856299896s,75,0,0
8.717781881s,1.009003759s,4m51.902711896s,347,0,0
8.528495121s,1.060092686s,8m31.194714363s,130,0,0
8.977516886s,1.49648931s,3m41.862868139s,414,0,0
9.190070381s,1.478473451s,2m20.865779923s,500,0,0
9.398053048s,1.050129804s,7m19.822956375s,191,0,0
9.74783197s,1.171019815s,3m1.203616568s,455,0,0
8.542603254s,1.028898829s,30.789024822s,601,0,0
9.149189202s,1.080428231s,30.182613937s,606,0,0
9.23418745s,1.440551873s,6m40.658457522s,239,0,0
9.12540047s,1.183018191s,10m20.719620222s,15,0,0
8.363450859s,1.124477255s,1m1.282801109s,578,0,0
9.359417999s,1.054162765s,501.808247ms,631,0,0
8.248001361s,1.171478543s,6m31.817361795s,245,0,0
9.122269299s,1.306016573s,1m40.82828977s,535,0,0
8.89126977s,1.309656772s,3m32.065878559s,430,0,0
