committee,daon,decentruth,seenfeed
245.240177561,963.523586392,2436.6985842090003,1792.2836226959992
242.67451764900005,968.0426310309998,2448.1429572570005,1800.7423590989993
242.284024996,972.5592404729998,2459.4452449310006,1809.1046424249992
247.9580075949999,977.0253356669998,2470.6702062170007,1817.7092802469992
249.816903307,981.4430919739998,2482.1610717730005,1826.4231263089991
247.13900584400005,986.0954499649998,2493.3162578900005,1834.5199798019992
246.901514575,990.375021942,2504.7999488130004,1842.9595880929992
252.06342393699992,994.672222347,2516.2838279320003,1851.1271323429992
254.06569087,999.099211434,2527.3561419790003,1859.561298439999
251.44370570100008,1003.673043233,2538.5830126860005,1867.7992285199991
251.55926075899995,1008.005648547,2549.9842819100004,1876.3476792009992
256.5672190529999,1012.542241006,2562.0484616350004,1884.6787451329992
258.5747059,1016.800644157,2573.548580819001,1893.1750075989992
255.97434590300008,1021.23597351,2584.6710682670005,1901.758249749999
256.014183466,1025.871428437,2596.1632318110005,1909.917726727999
261.30129192399994,1030.052174641,2607.8880174020005,1918.344318255999
263.012473742,1034.595709996,2618.6584646420006,1926.656582489999
260.62829669800004,1039.346434381,2630.2353718330005,1934.968144306999
260.45807199599994,1043.804284158,2641.1731180170004,1943.561646738999
265.807210673,1048.173278575,2653.0762173410003,1951.935210321999
267.303985989,1052.672014601,2664.123929012,1960.392693587999
264.98616312100006,1057.253061408,2675.46083051,1968.6269904459991
265.241118828,1061.5821405529998,2686.678209973,1976.7147089319992
270.1688143039999,1066.0719905669998,2698.336695142,1985.4237714229992
271.873431869,1070.595564971,2709.448186614,1993.9020843899991
269.64010243600006,1075.340110204,2720.534481764,2002.2175069359992
269.77655318499995,1079.772404981,2731.671090677,2010.805394900999
274.6346336109999,1084.3013630619998,2742.951919036,2019.516423178999
276.60240233,1088.5849093579998,2754.080345801,2027.860977181999
273.8757440410001,1092.834426455,2765.409433362,2036.332926132999
274.31119381,1097.4084208129998,2776.740264938,2045.003445480999
279.2665537019999,1101.8796474919998,2788.639420773,2053.225978658999
281.34951521600004,1106.2929928699998,2800.574829463,2061.5498452529987
278.3612760370001,1110.604473276,2812.224184183,2069.8435544869985
278.68034938999995,1115.123990635,2823.52738579,2078.2993622719987
283.5711161679999,1119.806615193,2834.5969428779995,2086.679570950999
285.96572301400005,1124.017212417,2846.2034155129995,2095.2529554169987
283.2281461290001,1128.627916472,2858.057122954,2103.411548931999
282.99894491799995,1133.101034401,2869.313109258,2111.992730133999
287.89878009199987,1137.518028869,2881.133349224,2120.401458684999
290.20329637900005,1142.127946835,2892.283588527,2128.969241434999
287.7755198860001,1146.4182819589998,2903.7936618799995,2137.4046467999988
287.668918952,1151.0697210469998,2914.7994780429995,2145.878041737999
292.1372311859999,1155.6525058379998,2925.919360798,2154.431360433999
294.90937499300003,1160.0050922049998,2936.8657917519995,2162.830884207999
292.4525689200001,1164.5717664549998,2948.5603327799995,2171.02487322
292.236803521,1169.1354718739997,2959.5880190379994,2179.693533174999
296.5507735789999,1173.6387611349996,2970.6451474149994,2187.8220139719992
299.325448917,1178.0411918549996,2982.232307486,2196.259870764999
296.9591901810001,1182.3321968379996,2993.736463212,2204.499854229999
296.875766837,1187.0438652609996,3004.969827277,2213.0082561609997
301.15190671599987,1191.5524635629995,3016.118869262,2221.5747592289995
303.80123542300004,1195.9022063599998,3027.694708432,2230.0941363709994
301.3952637160001,1200.4578410409997,3039.11502897,2238.277606826
301.50624956099995,1205.0311056799997,3050.649619682,2246.6844980569995
305.3763970969999,1209.8302342179998,3061.902417216,2255.4638060279995
308.26409969300005,1214.2556713089998,3073.729535409,2264.0034483209997
