time,committee,daon,decentruth,seenfeed,deepthought
2531,0.0,12440.0,17660.0,16690.0,19969
2536,0.0,12440.0,17660.0,16690.0,19969
2541,0.0,12440.0,17660.0,16690.0,19969
2546,0.0,12440.0,17660.0,16690.0,19969
2551,0.0,12440.0,17660.0,16690.0,19969
2556,0.0,12440.0,17660.0,16690.0,19969
2561,0.0,12440.0,17660.0,16690.0,19969
2566,0.0,12440.0,17660.0,16690.0,19969
2571,0.0,12440.0,17660.0,16690.0,19969
2576,0.0,12440.0,17660.0,16690.0,19969
2581,0.0,12440.0,17660.0,16690.0,19968
2586,0.0,12440.0,17660.0,16690.0,19966
2591,0.0,12440.0,17660.0,16690.0,19966
2596,0.0,12440.0,17660.0,16690.0,19966
2601,0.0,12440.0,17660.0,16690.0,19966
2606,0.0,12440.0,17660.0,16690.0,19966
2611,0.0,12440.0,17660.0,16690.0,19965
2616,0.0,12440.0,17660.0,16690.0,19965
2621,0.0,12440.0,17660.0,16690.0,19965
2626,0.0,12440.0,17660.0,16690.0,19965
2631,0.0,12440.0,17660.0,16690.0,19965
2636,0.0,12440.0,17660.0,16690.0,19965
2641,0.0,12440.0,17660.0,16690.0,19965
2646,0.0,12440.0,17660.0,16690.0,19965
2651,0.0,12440.0,17660.0,16690.0,19964
2656,0.0,12440.0,17660.0,16690.0,19962
2661,0.0,12440.0,17660.0,16690.0,19962
2666,0.0,12440.0,17660.0,16690.0,19962
2671,0.0,12440.0,17660.0,16690.0,19962
2676,0.0,12440.0,17660.0,16690.0,19962
2681,0.0,12440.0,17660.0,16690.0,19962
2686,0.0,12440.0,17660.0,16690.0,19962
2691,0.0,12440.0,17660.0,16690.0,19962
2696,0.0,12440.0,17660.0,16690.0,19962
2701,0.0,12440.0,17660.0,16690.0,19961
2706,0.0,12440.0,17660.0,16690.0,19960
2711,0.0,12440.0,17660.0,16690.0,19960
2716,0.0,12440.0,17660.0,16690.0,19960
2721,0.0,12440.0,17660.0,16690.0,19960
2726,0.0,12440.0,17660.0,16690.0,19960
