time,handled_num,q_len,comId
413706,6220,13780,0
413711,6220,13780,0
413716,6220,13780,0
413721,6220,13780,0
413726,6220,13780,0
413731,6220,13780,0
413736,6220,13780,0
413741,6220,13780,0
413746,6220,13780,0
413751,6220,13780,0
413756,6220,13780,0
413761,6220,13780,0
413766,6220,13780,0
413771,6220,13780,0
413776,6220,13780,0
413781,6220,13780,0
413786,6220,13780,0
413791,6220,13780,0
413796,6220,13780,0
413801,6220,13780,0
413806,6220,13780,0
413811,6220,13780,0
413816,6220,13780,0
413821,6220,13780,0
413826,6220,13780,0
413831,6220,13780,0
413836,6220,13780,0
413841,6220,13780,0
413846,6220,13780,0
413851,6220,13780,0
413856,6220,13780,0
413861,6220,13780,0
413866,6220,13780,0
413871,6220,13780,0
413876,6220,13780,0
413881,6220,13780,0
413886,6220,13780,0
413891,6220,13780,0
413896,6220,13780,0
413901,6220,13780,0
413906,6220,13780,0
413911,6220,13780,0
413916,6220,13780,0
413921,6220,13780,0
413926,6220,13780,0
413931,6220,13780,0
413936,6220,13780,0
413941,6220,13780,0
413946,6220,13780,0
413951,6220,13780,0
413956,6220,13780,0
413961,6220,13780,0
413966,6220,13780,0
413971,6220,13780,0
413976,6220,13780,0
413981,6220,13780,0
413986,6220,13780,0
413991,6220,13780,0
413996,6220,13780,0
414001,6220,13780,0
414006,6220,13780,0
414011,6220,13780,0
414016,6220,13780,0
414021,6220,13780,0
414026,6220,13780,0
414031,6220,13780,0
414036,6220,13780,0
414041,6220,13780,0
414046,6220,13780,0
414051,6220,13780,0
414056,6220,13780,0
414061,6220,13780,0
414066,6220,13780,0
414071,6220,13780,0
414076,6220,13780,0
414081,6220,13780,0
414086,6220,13780,0
414091,6220,13780,0
414096,6220,13780,0
414101,6220,13780,0
414106,6220,13780,0
414111,6220,13780,0
414116,6220,13780,0
414121,6220,13780,0
414126,6220,13780,0
414131,6220,13780,0
414136,6220,13780,0
414141,6220,13780,0
414146,6220,13780,0
414151,6220,13780,0
414156,6220,13780,0
414161,6220,13780,0
414166,6220,13780,0
414171,6220,13780,0
414176,6220,13780,0
414181,6220,13780,0
414186,6220,13780,0
414191,6220,13780,0
414196,6220,13780,0
414201,6220,13780,0
414206,6220,13780,0
414211,6221,13779,0
414216,6221,13779,0
414221,6221,13779,0
414226,6221,13779,0
414231,6221,13779,0
414236,6221,13779,0
414241,6221,13779,0
414246,6221,13779,0
414251,6222,13778,0
414256,6223,13777,0
414261,6223,13777,0
414266,6223,13777,0
414271,6223,13777,0
414276,6223,13777,0
414281,6223,13777,0
